Type,ACC,Sn,Sp,Precision,F1-score,AUC,MCC,MSE,R
Train Fold 1,0.9845,0.9849,0.9841,0.9852,0.985,0.9986,0.969,0.6254,0.81
Test Fold 1,0.9101,0.9184,0.9018,0.9035,0.9109,0.9662,0.8203,1.0441,0.6261
Train Fold 2,0.9879,0.9855,0.9905,0.9911,0.9883,0.999,0.9758,0.5093,0.8365
Test Fold 2,0.918,0.9131,0.9229,0.9223,0.9177,0.9718,0.8361,1.0028,0.6457
Train Fold 3,0.9879,0.9828,0.9935,0.9938,0.9883,0.9991,0.9759,0.5023,0.8423
Test Fold 3,0.9133,0.8996,0.927,0.925,0.9121,0.9691,0.8268,0.9912,0.6453
Train Fold 4,0.9868,0.9856,0.9882,0.9889,0.9873,0.9989,0.9736,0.5414,0.832
Test Fold 4,0.9159,0.9199,0.912,0.9128,0.9163,0.9701,0.8319,0.9768,0.6417
Train Fold 5,0.987,0.9856,0.9885,0.9892,0.9874,0.9989,0.9739,0.5685,0.8237
Test Fold 5,0.9169,0.911,0.9229,0.9221,0.9165,0.9714,0.834,1.0417,0.6399
Train,0.9945,0.9921,0.997,0.9972,0.9946,0.9997,0.9889,0.4267,0.8745
Test,0.9391,0.935,0.9433,0.9429,0.9389,0.9859,0.8783,0.8293,0.7068
