smiles,output_class,output_reg,compound_id,parent_chemblid,target_protein_id,target_chembl_id,uniprot_id,count,parent_pref_name,max_phase,first_approval,usan_year
O=C(C[C@@H](CCCc1ccc(Cl)cc1)C(=O)N[C@@H](CC1CCCCC1)C(=O)NCCNS(=O)(=O)N1CCOCC1)NO,1.0；0.999938；1.0；0.69397885；1.0；0.6122757；0.98758477；0.99555606；1.0；0.70786685；1.0；1.0；0.99995077；0.87429506；0.99772674；0.99812335；0.9727396；0.8206409；0.7826215；0.95693797,9.126485；9.330387；9.721639；9.708899；9.496321；9.428461；9.147852；9.230527；9.169607；9.224112；10.113651；9.535631；9.265923；9.148329；9.4783745；9.292935；9.299612；9.723421；9.153074；9.274618,d062865,CHEMBL91655,tp0059；tp0082；tp0166；tp0227；tp0228；tp0251；tp0311；tp0340；tp0368；tp0372；tp0408；tp0409；tp0410；tp0413；tp0430；tp0463；tp0485；tp0539；tp0713；tp0778,CHEMBL2051；CHEMBL244；CHEMBL321；CHEMBL1907594;CHEMBL3068；CHEMBL280；CHEMBL2326；CHEMBL2001；CHEMBL274；CHEMBL2366517；CHEMBL1856；CHEMBL4588；CHEMBL4393；CHEMBL1907599;CHEMBL278；CHEMBL2094135;CHEMBL3708；CHEMBL1804；CHEMBL2274；CHEMBL4429；CHEMBL1798；CHEMBL2063；CHEMBL2434,P03468；P00742；P14780；P32297;P32297；P45452；P43166；Q9H244；P51681；Q9YQ12；P31213；P22894；P39900；P13612;P13612；P49810;P49810；P30874；Q9H228；P29371；Q9Y271；Q16739；P25025,20,,,,
O=C(C[C@@H](CCCc1ccc(Cl)cc1)C(=O)N[C@@H](CC1CCCCC1)C(=O)NCCC(=O)NCCNS(=O)(=O)N1CCOCC1)NO,1.0；0.99956924；1.0；0.6573281；1.0；0.5929413；0.98599243；0.9960772；0.9999998；0.6710682；1.0；1.0；0.99973047；0.80751467；0.9988028；0.98982894；0.96181995；0.80639285；0.759338；0.8900132,9.167267；9.424764；9.740553；9.761432；9.473089；9.497455；9.136274；9.258929；9.227962；9.245508；10.110536；9.524149；9.238505；9.218275；9.531021；9.316233；9.3012295；9.740091；9.175356；9.233851,d025422,CHEMBL264859,tp0059；tp0082；tp0166；tp0227；tp0228；tp0251；tp0311；tp0340；tp0368；tp0372；tp0408；tp0409；tp0410；tp0413；tp0430；tp0463；tp0485；tp0539；tp0713；tp0778,CHEMBL2051；CHEMBL244；CHEMBL321；CHEMBL1907594;CHEMBL3068；CHEMBL280；CHEMBL2326；CHEMBL2001；CHEMBL274；CHEMBL2366517；CHEMBL1856；CHEMBL4588；CHEMBL4393；CHEMBL1907599;CHEMBL278；CHEMBL2094135;CHEMBL3708；CHEMBL1804；CHEMBL2274；CHEMBL4429；CHEMBL1798；CHEMBL2063；CHEMBL2434,P03468；P00742；P14780；P32297;P32297；P45452；P43166；Q9H244；P51681；Q9YQ12；P31213；P22894；P39900；P13612;P13612；P49810;P49810；P30874；Q9H228；P29371；Q9Y271；Q16739；P25025,20,,,,
COC(=O)CCNC(=O)CCNC(=O)[C@H](CC1CCCCC1)NC(=O)[C@H](CCCc1ccc(Cl)cc1)CC(=O)NO,1.0；0.72154784；0.99999887；0.5971449；0.9993227；0.7998681；1.0；0.9999992；0.99415237；0.998304；0.8835613；0.8011569；0.766423,9.800046；10.07472；9.291578；9.247624；9.212372；9.092993；9.910969；9.423198；9.262952；9.312926；9.013222；9.619982；9.172972,d025572,CHEMBL308533,tp0166；tp0227；tp0228；tp0251；tp0340；tp0372；tp0408；tp0409；tp0430；tp0463；tp0485；tp0539；tp0713,CHEMBL321；CHEMBL1907594;CHEMBL3068；CHEMBL280；CHEMBL2326；CHEMBL274；CHEMBL1856；CHEMBL4588；CHEMBL4393；CHEMBL1804；CHEMBL2274；CHEMBL4429；CHEMBL1798；CHEMBL2063,P14780；P32297;P32297；P45452；P43166；P51681；P31213；P22894；P39900；P30874；Q9H228；P29371；Q9Y271；Q16739,13,,,,
O=C(O)CCNC(=O)CCNC(=O)[C@H](CC1CCCCC1)NC(=O)[C@H](CCCc1ccc(Cl)cc1)CC(=O)NO,1.0；0.6870179；0.9999989；0.5881575；0.9987402；0.79921603；1.0；1.0；0.98327845；0.9915886；0.8015245；0.65497196,9.453663；10.08774；9.168033；9.043404；9.084948；9.055944；9.759266；9.261759；9.056531；9.201881；9.513222；9.0791,d025485,CHEMBL76158,tp0166；tp0227；tp0228；tp0251；tp0340；tp0372；tp0408；tp0409；tp0430；tp0463；tp0539；tp0713,CHEMBL321；CHEMBL1907594;CHEMBL3068；CHEMBL280；CHEMBL2326；CHEMBL274；CHEMBL1856；CHEMBL4588；CHEMBL4393；CHEMBL1804；CHEMBL2274；CHEMBL1798；CHEMBL2063,P14780；P32297;P32297；P45452；P43166；P51681；P31213；P22894；P39900；P30874；Q9H228；Q9Y271；Q16739,12,,,,
COC(=O)CCNC(=O)[C@H](CC1CCCCC1)NC(=O)[C@H](CCCc1ccc(Cl)cc1)CC(=O)NO,1.0；0.7662129；0.9999998；0.600398；0.9997115；0.8000355；1.0；0.9999992；0.9974087；0.99989617；0.8035448；0.7877805,9.746804；10.03846；9.31563；9.221715；9.186905；9.127311；9.853563；9.429633；9.175192；9.320089；9.660509；9.179302,d062941,CHEMBL92828,tp0166；tp0227；tp0228；tp0251；tp0340；tp0372；tp0408；tp0409；tp0430；tp0463；tp0539；tp0713,CHEMBL321；CHEMBL1907594;CHEMBL3068；CHEMBL280；CHEMBL2326；CHEMBL274；CHEMBL1856；CHEMBL4588；CHEMBL4393；CHEMBL1804；CHEMBL2274；CHEMBL1798；CHEMBL2063,P14780；P32297;P32297；P45452；P43166；P51681；P31213；P22894；P39900；P30874；Q9H228；Q9Y271；Q16739,12,,,,
O=C(C[C@@H](CCCc1ccc(Cl)cc1)C(=O)N[C@@H](CC1CCCCC1)C(=O)NCCC(=O)NCCC(=O)N1CCOCC1)NO,1.0；0.7082254；0.9999877；0.53653246；0.97122794；1.0；0.9999997；0.9900171；0.80219346；0.9857403；0.8000077；0.7042985,9.60176；9.942756；9.340767；9.23406；9.256411；9.926547；9.251076；9.402739；9.122534；9.0153475；9.803581；9.039656,d025625,CHEMBL306608,tp0166；tp0227；tp0228；tp0251；tp0340；tp0408；tp0409；tp0430；tp0463；tp0485；tp0539；tp0713,CHEMBL321；CHEMBL1907594;CHEMBL3068；CHEMBL280；CHEMBL2326；CHEMBL274；CHEMBL4588；CHEMBL4393；CHEMBL1804；CHEMBL2274；CHEMBL4429；CHEMBL1798；CHEMBL2063,P14780；P32297;P32297；P45452；P43166；P51681；P22894；P39900；P30874；Q9H228；P29371；Q9Y271；Q16739,12,,,,
CN(C)CCCCNC(=O)CCNC(=O)[C@H](CC1CCCCC1)NC(=O)[C@H](CCCc1ccc(Cl)cc1)CC(=O)NO,1.0；0.99346143；0.9048583；0.99999696；0.9993453；1.0；0.9999999；0.97975796；0.9960992；0.8003911；0.9745445,9.597784；9.060839；9.973239；9.069109；9.171526；9.764177；9.244169；9.290337；9.397425；9.593736；9.1221695,d025530,CHEMBL77659,tp0166；tp0174；tp0227；tp0228；tp0340；tp0408；tp0409；tp0430；tp0463；tp0539；tp0713,CHEMBL321；CHEMBL211；CHEMBL1907594;CHEMBL3068；CHEMBL280；CHEMBL274；CHEMBL4588；CHEMBL4393；CHEMBL1804；CHEMBL2274；CHEMBL1798；CHEMBL2063,P14780；P08172；P32297;P32297；P45452；P51681；P22894；P39900；P30874；Q9H228；Q9Y271；Q16739,11,,,,
CCCCCCN(C)CNCC(=O)[C@H](CC(=O)O)NC(=O)C(CC)n1cc(C(C)C)nc(NCc2nonc2C)c1=O,0.5359031；0.93022346；0.92425317；0.50817853；0.87857103；0.9990877；0.99840325；0.8621845；0.928757；0.7039337；0.70144516,9.285375；9.018363；9.265665；9.001101；9.068228；9.000002；9.388901；9.24407；9.006808；9.511047；9.32486,d283151,CHEMBL180646,tp0077；tp0084；tp0176；tp0372；tp0430；tp0463；tp0539；tp0589；tp0615；tp0658；tp0713,CHEMBL1821；CHEMBL204；CHEMBL1628481；CHEMBL1856；CHEMBL1804；CHEMBL2274；CHEMBL1798；CHEMBL5957；CHEMBL2820；CHEMBL250；CHEMBL2063,P08173；P00734；P35414；P31213；P30874；Q9H228；Q9Y271；P21589；P03951；P25105；Q16739,11,,,,
O=C(C[C@@H](CCCc1ccc(Cl)cc1)C(=O)N[C@@H](CC1CCCCC1)C(=O)NCCC(=O)NCCCCN1CCOCC1)NO,1.0；0.80164766；0.99976504；0.99504995；1.0；0.999998；0.99242795；0.8102125；0.992408；0.79983103；0.9267076,9.702426；9.642501；9.203573；9.363426；9.834987；9.230968；9.435839；9.282354；9.024174；9.683794；9.174454,d025556,CHEMBL74308,tp0166；tp0227；tp0228；tp0340；tp0408；tp0409；tp0430；tp0463；tp0485；tp0539；tp0713,CHEMBL321；CHEMBL1907594;CHEMBL3068；CHEMBL280；CHEMBL274；CHEMBL4588；CHEMBL4393；CHEMBL1804；CHEMBL2274；CHEMBL4429；CHEMBL1798；CHEMBL2063,P14780；P32297;P32297；P45452；P51681；P22894；P39900；P30874；Q9H228；P29371；Q9Y271；Q16739,11,,,,
O=C(O)CCNC(=O)[C@H](CC1CCCCC1)NC(=O)[C@H](CCCc1ccc(Cl)cc1)CC(=O)NO,1.0；0.7425692；0.9999999；0.6008406；0.9995934；0.7998683；1.0；1.0；0.9994748；0.803525；0.7595396,9.411272；10.058871；9.174757；9.0170765；9.057378；9.077615；9.710726；9.271115；9.207372；9.492014；9.088906,d064073,CHEMBL93395,tp0166；tp0227；tp0228；tp0251；tp0340；tp0372；tp0408；tp0409；tp0463；tp0539；tp0713,CHEMBL321；CHEMBL1907594;CHEMBL3068；CHEMBL280；CHEMBL2326；CHEMBL274；CHEMBL1856；CHEMBL4588；CHEMBL4393；CHEMBL2274；CHEMBL1798；CHEMBL2063,P14780；P32297;P32297；P45452；P43166；P51681；P31213；P22894；P39900；Q9H228；Q9Y271；Q16739,11,,,,
