Target protein id,ACC,Sn,Sp,Precision,F1-score,AUC,MCC,Positive MSE,Positive R,Positive R P value,Positive sample count,target_protein_id,target_chembl_id,uniprot_id,target_pref_name,organism,target_class_l1,target_class_l2
tp0978,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.5025904541359685,1.0,1.0,2,tp0978,CHEMBL3559701,P04201,Proto-oncogene Mas,Homo sapiens,Membrane receptor,Family A G protein-coupled receptor
tp0925,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0956768651745292,1.0,1.0,2,tp0925,CHEMBL2363000,Q14721,Potassium voltage-gated channel subfamily B member 1,Homo sapiens,Ion channel,Voltage-gated ion channel
tp1028,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.3313212217002364,1.0,1.0,2,tp1028,CHEMBL4183,Q14242,P-selectin glycoprotein ligand 1,Homo sapiens,Adhesion,
tp0906,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7630847505580401,0.9999999999998732,3.205776844617897e-07,3,tp0906,CHEMBL3286073,P01579,Interferon gamma,Homo sapiens,Secreted protein,
tp1018,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0294909345543008,0.9837701010390314,0.1148529525290454,3,tp1018,CHEMBL2364,D2K2A8,Hepatitis C virus NS4A protein,Hepatitis C virus,Enzyme,Protease
tp0186,0.99,0.99,0.99,0.99,0.99,0.9998,0.98,0.5055619901091624,0.9225633182786208,2.5586357149017698e-42,100,tp0186,CHEMBL5697,Q9GZT9,Egl nine homolog 1,Homo sapiens,Enzyme,Oxidoreductase
tp0188,0.98,0.98,0.98,0.98,0.98,0.9985,0.96,0.7894162270856188,0.921002702123815,6.547191392197515e-42,100,tp0188,CHEMBL1827,O76074,Phosphodiesterase 5A,Homo sapiens,Enzyme,Phosphodiesterase
tp0363,0.98,0.97,0.99,0.9897959183673468,0.9797979797979798,0.9978,0.9601920576192068,0.417073770358533,0.9196559686810508,1.4503719139968695e-41,100,tp0363,CHEMBL1977,P11473,Vitamin D receptor,Homo sapiens,Transcription factor,Nuclear receptor
tp0148,0.99,0.99,0.99,0.99,0.99,0.9995,0.98,0.4025675173254938,0.9072878055225652,1.193019508766127e-38,100,tp0148,CHEMBL1785,P24530,Endothelin receptor ET-B,Homo sapiens,Membrane receptor,Family A G protein-coupled receptor
tp0368,0.98,0.96,1.0,1.0,0.979591836734694,0.9999,0.9607689228305228,0.6815393738823787,0.905407506807609,3.046547393506595e-38,100,tp0368,CHEMBL2366517,Q9YQ12,Protease,Human immunodeficiency virus 1,Enzyme,Protease
tp0137,0.985,0.97,1.0,1.0,0.9847715736040608,0.9996,0.9704367948586524,0.5120959834839026,0.9052729406104516,3.2555154962397804e-38,100,tp0137,CHEMBL333,P08253,Matrix metalloproteinase-2,Homo sapiens,Enzyme,Protease
tp0146,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5374268270223311,0.903601328273189,7.361679820514988e-38,100,tp0146,CHEMBL4683,Q12884,Fibroblast activation protein alpha,Homo sapiens,Enzyme,Protease
tp0533,0.99,0.98,1.0,1.0,0.98989898989899,0.9991,0.9801960588196068,0.4893394503650971,0.8934187468066891,7.843683304283578e-36,100,tp0533,CHEMBL1907601,P24385,Cyclin-dependent kinase 4/cyclin D1,Homo sapiens,Enzyme|Other cytosolic protein,Kinase
tp0589,0.965,1.0,0.93,0.9345794392523364,0.966183574879227,0.9977,0.932286907826487,0.494007015592814,0.8905837716757582,2.6462107549630077e-35,100,tp0589,CHEMBL5957,P21589,5'-nucleotidase,Homo sapiens,Enzyme,Phosphatase
