Target protein id,ACC,Sn,Sp,Precision,F1-score,AUC,MCC,Positive MSE,Positive R,Positive R P value,Positive sample count,target_protein_id,target_chembl_id,uniprot_id,target_pref_name,organism,target_class_l1,target_class_l2
tp1001,0.75,0.5,1.0,1.0,0.6666666666666666,0.75,0.5773502691896258,0.0328719122440021,1.0,1.0,2,tp1001,CHEMBL2176839,O60602,Toll-like receptor 5,Homo sapiens,Membrane receptor,Toll-like and Il-1 receptors
tp0978,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.5025904541359685,1.0,1.0,2,tp0978,CHEMBL3559701,P04201,Proto-oncogene Mas,Homo sapiens,Membrane receptor,Family A G protein-coupled receptor
tp0981,0.75,1.0,0.5,0.6666666666666666,0.8,1.0,0.5773502691896258,2.7787595733446517,1.0,1.0,2,tp0981,CHEMBL3307223,Q15116,Programmed cell death protein 1,Homo sapiens,Surface antigen,
tp0960,0.5,1.0,0.0,0.5,0.6666666666666666,0.0,0.0,0.218263047684146,1.0,1.0,2,tp0960,CHEMBL4105966,A0A8C0QLS2,Glucocorticoid receptor,Canis lupus familiaris,Unclassified protein,
tp0934,0.25,0.5,0.0,0.3333333333333333,0.4,0.0,-0.5773502691896258,1.6427740677642806,1.0,1.0,2,tp0934,CHEMBL2565,Q9XDB3,Penicillin-binding protein 2b,Staphylococcus aureus,Enzyme,Protease
tp0939,0.75,0.5,1.0,1.0,0.6666666666666666,0.5,0.5773502691896258,0.24049656405713085,1.0,1.0,2,tp0939,CHEMBL6132,Q9F663,Carbepenem-hydrolyzing beta-lactamase KPC,Klebsiella pneumoniae,Enzyme,Hydrolase
tp0788,0.2,0.5,0.0,0.25,0.3333333333333333,0.5,-0.6123724356957946,5.9482158649044035,1.0,1.0,2,tp0788,CHEMBL2079845,P01111,GTPase NRas,Homo sapiens,Enzyme,Hydrolase
tp0927,0.75,0.5,1.0,1.0,0.6666666666666666,1.0,0.5773502691896258,0.3659879889890761,1.0,1.0,2,tp0927,CHEMBL3831212,O00231,26S proteasome non-ATPase regulatory subunit 11,Homo sapiens,Enzyme,
tp0925,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.09567686517452922,1.0,1.0,2,tp0925,CHEMBL2363000,Q14721,Potassium voltage-gated channel subfamily B member 1,Homo sapiens,Ion channel,Voltage-gated ion channel
tp1025,0.5,0.5,0.5,0.5,0.5,0.75,0.0,3.6887816766553705,1.0,1.0,2,tp1025,CHEMBL2317,O00483,NADH-ubiquinone oxidoreductase MLRQ subunit,Homo sapiens,Enzyme,Oxidoreductase
tp1028,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.3313212217002364,1.0,1.0,2,tp1028,CHEMBL4183,Q14242,P-selectin glycoprotein ligand 1,Homo sapiens,Adhesion,
tp0906,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7630847505580401,0.9999999999998732,3.205776844617897e-07,3,tp0906,CHEMBL3286073,P01579,Interferon gamma,Homo sapiens,Secreted protein,
tp0938,0.6666666666666666,0.5,1.0,1.0,0.6666666666666666,1.0,0.5,8.253087729720455,0.9999999999993406,6.59472476627343e-13,4,tp0938,CHEMBL6131,Q9EXV5,Beta-lactamase CTX-M,Escherichia coli,Enzyme,Hydrolase
tp1018,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.029490934554300883,0.9837701010390314,0.11485295252904543,3,tp1018,CHEMBL2364,D2K2A8,Hepatitis C virus NS4A protein,Hepatitis C virus,Enzyme,Protease
tp0765,0.7777777777777778,0.5,1.0,1.0,0.6666666666666666,0.6,0.5976143046671968,0.475662594702749,0.968155205823916,0.03184479417608399,4,tp0765,CHEMBL1911,P51649,Succinate semialdehyde dehydrogenase,Homo sapiens,Enzyme,Oxidoreductase
tp0782,0.45454545454545453,0.6,0.3333333333333333,0.42857142857142855,0.5,0.6000000000000001,-0.06900655593423542,3.002100096921125,0.9358276221120239,0.01932550520633891,5,tp0782,CHEMBL2111332,O95264,Serotonin 3 (5-HT3) receptor,Homo sapiens,Ion channel,Ligand-gated ion channel
tp0186,0.99,0.99,0.99,0.99,0.99,0.9998,0.98,0.5055619901091624,0.9225633182786208,2.55863571490177e-42,100,tp0186,CHEMBL5697,Q9GZT9,Egl nine homolog 1,Homo sapiens,Enzyme,Oxidoreductase
tp0188,0.98,0.98,0.98,0.98,0.98,0.9985,0.96,0.7894162270856188,0.921002702123815,6.547191392197515e-42,100,tp0188,CHEMBL1827,O76074,Phosphodiesterase 5A,Homo sapiens,Enzyme,Phosphodiesterase
tp0363,0.98,0.97,0.99,0.9897959183673469,0.9797979797979798,0.9977999999999999,0.9601920576192068,0.41707377035853305,0.9196559686810507,1.4503719139968695e-41,100,tp0363,CHEMBL1977,P11473,Vitamin D receptor,Homo sapiens,Transcription factor,Nuclear receptor
tp0148,0.99,0.99,0.99,0.99,0.99,0.9994999999999999,0.98,0.40256751732549384,0.9072878055225653,1.193019508766127e-38,100,tp0148,CHEMBL1785,P24530,Endothelin receptor ET-B,Homo sapiens,Membrane receptor,Family A G protein-coupled receptor
tp0368,0.98,0.96,1.0,1.0,0.9795918367346939,0.9999,0.9607689228305227,0.6815393738823787,0.905407506807609,3.046547393506595e-38,100,tp0368,CHEMBL2366517,Q9YQ12,Protease,Human immunodeficiency virus 1,Enzyme,Protease
